model,num_classes,num_ensemble,clf_error,l2_logits,epoch
tabpfn,10,8,0.05235600471496582,0.17521601915359497,400
tabpfn,10,8,0.07068061828613281,0.43062901496887207,400
tabpfn,10,8,0.9921466112136841,0.42064619064331055,400
tabpfn,10,8,0.0,0.16801561415195465,400
tabpfn,10,8,0.06806284189224243,0.10855870693922043,400
tabpfn,10,8,0.018324613571166992,0.6955028176307678,400
tabpfn,10,8,0.24214661121368408,0.12498433887958527,400
tabpfn,10,8,0.09947645664215088,0.29908132553100586,400
tabpfn,10,8,0.8756544589996338,0.7380833029747009,400
tabpfn,10,8,0.03010469675064087,0.6524155139923096,400
tabpfn,10,8,0.002617776393890381,0.14043863117694855,400
tabpfn,10,8,0.02617800235748291,0.8164923191070557,400
tabpfn,10,8,0.14659684896469116,0.11423607915639877,400
tabpfn,10,8,0.0,0.12873905897140503,400
tabpfn,10,8,0.061518311500549316,0.3283441662788391,400
tabpfn,10,8,0.08507853746414185,0.7003353238105774,400
tabpfn,10,8,0.9476439952850342,0.46211549639701843,400
tabpfn,10,8,0.03010469675064087,0.8726913928985596,400
tabpfn,10,8,0.05235600471496582,0.42165708541870117,400
tabpfn,10,8,0.05235600471496582,0.71587073802948,400
tabpfn,10,8,0.032722532749176025,0.13436152040958405,400
tabpfn,10,8,0.09554970264434814,0.42805957794189453,400
tabpfn,10,8,0.06806284189224243,0.5123010873794556,400
tabpfn,10,8,0.061518311500549316,0.3134068250656128,400
tabpfn,10,8,0.03010469675064087,0.09703607857227325,400
tabpfn,10,8,0.11256545782089233,0.35035035014152527,400
tabpfn,10,8,0.10994762182235718,0.5033989548683167,400
tabpfn,10,8,0.05235600471496582,0.6890017986297607,400
tabpfn,10,8,0.0,0.14776356518268585,400
tabpfn,10,8,0.0013089179992675781,0.1395484060049057,400
tabpfn,10,8,0.036649227142333984,0.8569396734237671,400
tabpfn,10,8,0.14921462535858154,0.3483423590660095,400
tabpfn,10,8,0.09042555093765259,0.4698478877544403,400
tabpfn,10,8,0.11037236452102661,0.24288448691368103,400
tabpfn,10,8,0.16489362716674805,0.23397518694400787,400
tabpfn,10,8,0.9946808218955994,0.9116538166999817,400
tabpfn,10,8,0.13696813583374023,0.19610795378684998,400
tabpfn,10,8,0.03590428829193115,1.0071824789047241,400
tabpfn,10,8,0.07180851697921753,0.6320992112159729,400
tabpfn,10,8,5.960464477539063e-08,0.18775779008865356,400
tabpfn,10,8,0.07180851697921753,0.38389137387275696,400
tabpfn,10,8,5.960464477539063e-08,0.1026063784956932,400
tabpfn,10,8,0.08111703395843506,0.18477636575698853,400
tabpfn,10,8,5.960464477539063e-08,0.1768093854188919,400
tabpfn,10,8,0.13696813583374023,0.4720137417316437,400
tabpfn,10,8,0.11702132225036621,0.33390897512435913,400
tabpfn,10,8,0.125,0.5486569404602051,400
tabpfn,10,8,0.04388302564620972,0.8603442907333374,400
tabpfn,10,8,0.05452132225036621,0.7036023736000061,400
tabpfn,10,8,0.051861703395843506,0.7898119688034058,400
tabpfn,10,8,0.18484044075012207,0.4004470109939575,400
tabpfn,10,8,0.15425533056259155,0.31783777475357056,400
tabpfn,10,8,0.9946808218955994,0.887342095375061,400
tabpfn,10,8,0.29654258489608765,0.23415054380893707,400
tabpfn,10,8,0.023936212062835693,0.09461654722690582,400
tabpfn,10,8,5.960464477539063e-08,0.1467161625623703,400
tabpfn,10,8,0.023936212062835693,0.8837459087371826,400
tabpfn,10,8,5.960464477539063e-08,0.1751432567834854,400
tabpfn,10,8,0.1210106611251831,0.4422833025455475,400
tabpfn,10,8,0.09308511018753052,0.7155709862709045,400
tabpfn,10,8,0.02260643243789673,0.6887685060501099,400
tabpfn,10,8,0.10239362716674805,0.40571659803390503,400
tabpfn,10,8,0.05452132225036621,0.3089333474636078,400
