model,num_classes,num_ensemble,clf_error,l2_logits,epoch
tabpfn,2,4,0.3060606122016907,0.11329124867916107,0
tabpfn,2,4,0.44545453786849976,0.13260690867900848,0
tabpfn,2,4,0.32121217250823975,0.116707444190979,0
tabpfn,2,4,0.2818182110786438,0.11125068366527557,0
tabpfn,2,4,0.08181822299957275,0.0895562618970871,0
tabpfn,2,4,0.3121212124824524,0.11629090458154678,0
tabpfn,2,4,0.29393941164016724,0.10696984082460403,0
tabpfn,2,4,0.25151515007019043,0.11320880800485611,0
tabpfn,2,4,0.22727274894714355,0.10484188795089722,0
tabpfn,2,4,0.29393941164016724,0.115195132791996,0
tabpfn,2,4,0.23333334922790527,0.10854899138212204,0
tabpfn,2,4,0.2545454502105713,0.09898367524147034,0
tabpfn,2,4,0.28484851121902466,0.10838285833597183,0
tabpfn,2,4,0.3121212124824524,0.11476533114910126,0
tabpfn,2,4,0.3121212124824524,0.1253259778022766,0
tabpfn,2,4,0.3757575750350952,0.15267865359783173,0
tabpfn,2,4,0.24242424964904785,0.11361069232225418,0
tabpfn,2,4,0.11212122440338135,0.0748162493109703,0
tabpfn,2,4,0.3242424726486206,0.11566988378763199,0
tabpfn,2,4,0.23636364936828613,0.11451892554759979,0
tabpfn,2,4,0.3060606122016907,0.11694953590631485,0
tabpfn,2,4,0.26363641023635864,0.11030430346727371,0
tabpfn,2,4,0.30909091234207153,0.11649291962385178,0
tabpfn,2,4,0.2454545497894287,0.10913877934217453,0
tabpfn,2,4,0.23030304908752441,0.10834801197052002,0
tabpfn,2,4,0.3181818127632141,0.08748934417963028,0
tabpfn,2,4,0.539393961429596,0.13687488436698914,0
tabpfn,2,4,0.29393941164016724,0.15306980907917023,0
tabpfn,2,4,0.10303032398223877,0.05328940972685814,0
tabpfn,2,4,0.31515151262283325,0.11377943307161331,0
tabpfn,2,4,0.27878791093826294,0.10633891075849533,0
tabpfn,2,4,0.22727274894714355,0.10677357017993927,0
tabpfn,2,4,0.4285714030265808,0.13653182983398438,0
tabpfn,2,4,0.22191399335861206,0.0939706340432167,0
tabpfn,2,4,0.22884881496429443,0.04388188570737839,0
tabpfn,2,4,0.29680997133255005,0.11202985793352127,0
tabpfn,2,4,0.28155338764190674,0.1106998473405838,0
tabpfn,2,4,0.2857142686843872,0.11236286163330078,0
tabpfn,2,4,0.27461856603622437,0.11721876263618469,0
tabpfn,2,4,0.08321774005889893,0.08048781007528305,0
tabpfn,2,4,0.2954229712486267,0.10997524857521057,0
tabpfn,2,4,0.30929261445999146,0.09014271944761276,0
tabpfn,2,4,0.2926490902900696,0.11106009036302567,0
tabpfn,2,4,0.07073503732681274,0.07864353060722351,0
tabpfn,2,4,0.2330096960067749,0.10278639942407608,0
tabpfn,2,4,0.25658804178237915,0.11717965453863144,0
tabpfn,2,4,0.2954229712486267,0.11360260099172592,0
tabpfn,2,4,0.24687927961349487,0.10920420289039612,0
tabpfn,2,4,0.29403603076934814,0.11382007598876953,0
tabpfn,2,4,0.03467404842376709,0.08452384173870087,0
tabpfn,2,4,0.2829403281211853,0.11003227531909943,0
tabpfn,2,4,0.4285714030265808,0.09084166586399078,0
tabpfn,2,4,0.446601927280426,0.01824486069381237,0
tabpfn,2,4,0.5852981805801392,0.09984434396028519,0
tabpfn,2,4,0.36754506826400757,0.15313152968883514,0
tabpfn,2,4,0.28710120916366577,0.10969995707273483,0
tabpfn,2,4,0.2829403281211853,0.11263543367385864,0
tabpfn,2,4,0.3703190088272095,0.09919499605894089,0
tabpfn,2,4,0.2052704095840454,0.09308435022830963,0
tabpfn,2,4,0.1276005506515503,0.07523512840270996,0
tabpfn,2,4,0.27600550651550293,0.11072887480258942,0
tabpfn,2,4,0.2635228633880615,0.11441267281770706,0
tabpfn,2,4,0.29680997133255005,0.11306791007518768,0
tabpfn,2,4,0.27877944707870483,0.11963870376348495,0
tabpfn,2,4,0.31739962100982666,0.11871401220560074,0
tabpfn,2,4,0.12810707092285156,0.05538610368967056,0
tabpfn,2,4,0.2533460855484009,0.10817897319793701,0
tabpfn,2,4,0.31261950731277466,0.11462479829788208,0
tabpfn,2,4,0.3642447590827942,0.12651319801807404,0
tabpfn,2,4,0.3059273362159729,0.11420875787734985,0
tabpfn,2,4,0.2638623118400574,0.08678681403398514,0
tabpfn,2,4,0.30688339471817017,0.1197451502084732,0
tabpfn,2,4,0.1797323226928711,0.07417421787977219,0
tabpfn,2,4,0.3059273362159729,0.1250213086605072,0
tabpfn,2,4,0.1214148998260498,0.10069673508405685,0
tabpfn,2,4,0.35277247428894043,0.1297186017036438,0
tabpfn,2,4,0.1835564374923706,0.10264461487531662,0
tabpfn,2,4,0.3097514510154724,0.12127258628606796,0
tabpfn,2,4,0.3432122468948364,0.09710399061441422,0
tabpfn,2,4,0.29349905252456665,0.08496840298175812,0
tabpfn,2,4,0.3107074499130249,0.11708708852529526,0
tabpfn,2,4,0.3154875636100769,0.12030984461307526,0
tabpfn,2,4,0.27055448293685913,0.11453253030776978,0
tabpfn,2,4,0.3107074499130249,0.11688545346260071,0
tabpfn,2,4,0.32313573360443115,0.12279917299747467,0
tabpfn,2,4,0.23613768815994263,0.10171463340520859,0
tabpfn,2,4,0.29349905252456665,0.11860277503728867,0
tabpfn,2,4,0.3728489279747009,0.15600435435771942,0
tabpfn,2,4,0.43499046564102173,0.2133144587278366,0
tabpfn,2,4,0.42351818084716797,0.09671178460121155,0
tabpfn,2,4,0.30879539251327515,0.11830801516771317,0
tabpfn,2,4,0.49235183000564575,0.0887940526008606,0
tabpfn,2,4,0.32217973470687866,0.11877046525478363,0
tabpfn,2,4,0.38623327016830444,0.15578335523605347,0
tabpfn,2,4,0.30305927991867065,0.11519771069288254,0
tabpfn,2,4,0.2858508825302124,0.11913473159074783,0
tabpfn,2,4,0.29640716314315796,0.10967438668012619,0
tabpfn,2,4,0.2934131622314453,0.11490285396575928,0
tabpfn,2,4,0.2684630751609802,0.11374329775571823,0
tabpfn,2,4,0.29840320348739624,0.11584912240505219,0
tabpfn,2,4,0.28742516040802,0.11693017929792404,0
tabpfn,2,4,0.2994012236595154,0.11193981766700745,0
tabpfn,2,4,0.2844311594963074,0.11527208238840103,0
tabpfn,2,4,0.27544909715652466,0.11180407553911209,0
tabpfn,2,4,0.2894211411476135,0.11400413513183594,0
tabpfn,2,4,0.2994012236595154,0.11514965444803238,0
tabpfn,2,4,0.2594810128211975,0.10686609148979187,0
tabpfn,2,4,0.2824351191520691,0.1123143658041954,0
tabpfn,2,4,0.2844311594963074,0.11257807910442352,0
tabpfn,2,4,0.27544909715652466,0.11475660651922226,0
tabpfn,2,4,0.26946109533309937,0.11430692672729492,0
tabpfn,2,4,0.3053892254829407,0.11389698833227158,0
tabpfn,2,4,0.2864271402359009,0.11575420945882797,0
tabpfn,2,4,0.27944111824035645,0.10803847014904022,0
tabpfn,2,4,0.2864271402359009,0.11120835691690445,0
tabpfn,2,4,0.2914171814918518,0.11525673419237137,0
tabpfn,2,4,0.2824351191520691,0.1140286773443222,0
tabpfn,2,4,0.2684630751609802,0.11226615309715271,0
tabpfn,2,4,0.2894211411476135,0.11746516823768616,0
tabpfn,2,4,0.2664670944213867,0.11588862538337708,0
tabpfn,2,4,0.29840320348739624,0.11303814500570297,0
tabpfn,2,4,0.2934131622314453,0.11511841416358948,0
tabpfn,2,4,0.27145707607269287,0.11047406494617462,0
tabpfn,2,4,0.2864271402359009,0.11256109923124313,0
tabpfn,2,4,0.29441118240356445,0.11590058356523514,0
tabpfn,2,4,0.27744513750076294,0.11216162145137787,0
tabpfn,2,4,0.29640716314315796,0.1156642735004425,0
tabpfn,2,4,0.29241514205932617,0.11373701691627502,0
tabpfn,2,4,0.1029900312423706,0.0764879435300827,0
tabpfn,2,4,0.25581395626068115,0.09874096512794495,0
tabpfn,2,4,0.21594685316085815,0.0977063700556755,0
tabpfn,2,4,0.25913625955581665,0.10500794649124146,0
tabpfn,2,4,0.3887043595314026,0.09319857507944107,0
tabpfn,2,4,0.2691029906272888,0.10570500791072845,0
tabpfn,2,4,0.25249171257019043,0.10011036694049835,0
tabpfn,2,4,0.2059800624847412,0.10545960068702698,0
tabpfn,2,4,0.1428571343421936,0.06690938025712967,0
tabpfn,2,4,0.21262460947036743,0.1055833250284195,0
tabpfn,2,4,0.2657807469367981,0.11201677471399307,0
tabpfn,2,4,0.2259136438369751,0.09931249916553497,0
tabpfn,2,4,0.2425249218940735,0.10729492455720901,0
tabpfn,2,4,0.19933557510375977,0.09818080067634583,0
tabpfn,2,4,0.22923588752746582,0.1017271876335144,0
tabpfn,2,4,0.2890365719795227,0.10832513868808746,0
tabpfn,2,4,0.2691029906272888,0.10575319826602936,0
tabpfn,2,4,0.21594685316085815,0.10567067563533783,0
tabpfn,2,4,0.25581395626068115,0.10428547859191895,0
tabpfn,2,4,0.19601333141326904,0.10137628018856049,0
tabpfn,2,4,0.23920267820358276,0.10489197075366974,0
tabpfn,2,4,0.15614622831344604,0.07214033603668213,0
tabpfn,2,4,0.2491694688796997,0.10172605514526367,0
tabpfn,2,4,0.27906978130340576,0.12081284075975418,0
tabpfn,2,4,0.2491694688796997,0.10326334089040756,0
tabpfn,2,4,0.34219270944595337,0.12623055279254913,0
tabpfn,2,4,0.13621264696121216,0.07906140387058258,0
tabpfn,2,4,0.18272429704666138,0.09179805219173431,0
tabpfn,2,4,0.29900336265563965,0.11433558911085129,0
tabpfn,2,4,0.1661129593849182,0.08431809395551682,0
tabpfn,2,4,0.2491694688796997,0.09945008903741837,0
tabpfn,2,4,0.23588043451309204,0.10502404719591141,0
tabpfn,2,4,0.3171856999397278,0.11776235699653625,0
tabpfn,2,4,0.29181087017059326,0.1161259189248085,0
tabpfn,2,4,0.2883506417274475,0.11529510468244553,0
tabpfn,2,4,0.28489047288894653,0.11424939334392548,0
tabpfn,2,4,0.2998846769332886,0.11477620899677277,0
tabpfn,2,4,0.31833910942077637,0.11816194653511047,0
tabpfn,2,4,0.3033449053764343,0.11959027498960495,0
tabpfn,2,4,0.38062286376953125,0.126260906457901,0
tabpfn,2,4,0.3137255311012268,0.10700452327728271,0
tabpfn,2,4,0.17877739667892456,0.0965050756931305,0
tabpfn,2,4,0.2906574606895447,0.11392562091350555,0
tabpfn,2,4,0.31833910942077637,0.12593987584114075,0
tabpfn,2,4,0.29296427965164185,0.11523828655481339,0
tabpfn,2,4,0.2871972322463989,0.10234985500574112,0
tabpfn,2,4,0.29411768913269043,0.11376112699508667,0
tabpfn,2,4,0.227220356464386,0.08750446140766144,0
tabpfn,2,4,0.29873126745224,0.11263585835695267,0
tabpfn,2,4,0.31141871213912964,0.11492571979761124,0
tabpfn,2,4,0.31141871213912964,0.11879678070545197,0
tabpfn,2,4,0.3056517243385315,0.12211227416992188,0
tabpfn,2,4,0.2895040512084961,0.11819782108068466,0
tabpfn,2,4,0.21222609281539917,0.11044907569885254,0
tabpfn,2,4,0.2964244484901428,0.11436893045902252,0
tabpfn,2,4,0.26643604040145874,0.10894731432199478,0
