model,num_classes,num_ensemble,clf_error,l2_logits,epoch
tabpfn,8,16,0.0,0.07874470204114914,1200
tabpfn,8,16,0.037936270236968994,0.504675567150116,1200
tabpfn,8,16,0.018209397792816162,0.16401545703411102,1200
tabpfn,8,16,0.024279236793518066,0.7300309538841248,1200
tabpfn,8,16,0.00151747465133667,0.6211212873458862,1200
tabpfn,8,16,0.015174508094787598,0.12762504816055298,1200
tabpfn,8,16,0.022761762142181396,0.673729419708252,1200
tabpfn,8,16,0.02731412649154663,0.4460453391075134,1200
tabpfn,8,16,0.03338390588760376,0.31915268301963806,1200
tabpfn,8,16,0.007587254047393799,0.6177991032600403,1200
tabpfn,8,16,0.018209397792816162,0.14003992080688477,1200
tabpfn,8,16,0.009104728698730469,0.6249456405639648,1200
tabpfn,8,16,0.0288316011428833,0.15998435020446777,1200
tabpfn,8,16,0.022761762142181396,0.35638099908828735,1200
tabpfn,8,16,0.024279236793518066,0.6835797429084778,1200
tabpfn,8,16,0.03338390588760376,0.13972808420658112,1200
tabpfn,8,16,0.021244347095489502,0.1410958170890808,1200
tabpfn,8,16,0.009104728698730469,0.09727352857589722,1200
tabpfn,8,16,0.019726872444152832,0.4802097678184509,1200
tabpfn,8,16,0.015174508094787598,0.8157791495323181,1200
tabpfn,8,16,0.018209397792816162,0.13391341269016266,1200
tabpfn,8,16,0.11229133605957031,0.06877124309539795,1200
tabpfn,8,16,0.010622143745422363,0.5692799091339111,1200
tabpfn,8,16,0.0288316011428833,0.4482764005661011,1200
tabpfn,8,16,0.009104728698730469,0.1402050107717514,1200
tabpfn,8,16,0.021244347095489502,0.4389615058898926,1200
tabpfn,8,16,0.08345979452133179,0.13472788035869598,1200
tabpfn,8,16,0.0030348896980285645,0.12922850251197815,1200
tabpfn,8,16,0.004552364349365234,0.07510388642549515,1200
tabpfn,8,16,0.010622143745422363,0.09749540686607361,1200
tabpfn,8,16,0.031866490840911865,0.12376526743173599,1200
tabpfn,8,16,0.024279236793518066,0.08781302720308304,1200
tabpfn,8,16,0.006249964237213135,0.4681508243083954,1200
tabpfn,8,16,0.0,0.11083830147981644,1200
tabpfn,8,16,0.0,0.04409050941467285,1200
tabpfn,8,16,0.002083301544189453,0.8639591336250305,1200
tabpfn,8,16,0.031249940395355225,0.1088402047753334,1200
tabpfn,8,16,0.0,0.41802212595939636,1200
tabpfn,8,16,0.01874995231628418,0.475422203540802,1200
tabpfn,8,16,0.006249964237213135,0.4850498139858246,1200
tabpfn,8,16,0.041666626930236816,0.10930491983890533,1200
tabpfn,8,16,0.062499940395355225,0.09631693363189697,1200
tabpfn,8,16,0.008333265781402588,0.5163798928260803,1200
tabpfn,8,16,0.0,0.020163461565971375,1200
tabpfn,8,16,0.0,0.12326476722955704,1200
tabpfn,8,16,0.02291661500930786,0.6124674677848816,1200
tabpfn,8,16,0.0,0.04789348319172859,1200
tabpfn,8,16,0.0,0.056490518152713776,1200
tabpfn,8,16,0.0,0.09870598465204239,1200
tabpfn,8,16,0.02499997615814209,0.27111271023750305,1200
tabpfn,8,16,0.014583289623260498,0.40347158908843994,1200
tabpfn,8,16,0.008333265781402588,0.5381280183792114,1200
tabpfn,8,16,0.0458332896232605,0.39666736125946045,1200
tabpfn,8,16,0.004166603088378906,0.5326391458511353,1200
tabpfn,8,16,0.006249964237213135,0.6063627004623413,1200
tabpfn,8,16,0.0,0.06700136512517929,1200
tabpfn,8,16,0.031249940395355225,0.2753215730190277,1200
tabpfn,8,16,0.004166603088378906,0.6807657480239868,1200
tabpfn,8,16,0.0,0.09480942785739899,1200
tabpfn,8,16,0.01666659116744995,0.3231021761894226,1200
tabpfn,8,16,0.010416626930236816,0.5410007238388062,1200
tabpfn,8,16,0.0,0.11483342200517654,1200
tabpfn,8,16,0.006249964237213135,0.5207191705703735,1200
tabpfn,8,16,0.008333265781402588,0.5770675539970398,1200
tabpfn,8,16,0.04382467269897461,0.12780988216400146,1200
tabpfn,8,16,0.003984034061431885,0.30831995606422424,1200
tabpfn,8,16,0.0,0.061008576303720474,1200
