model,num_classes,num_ensemble,clf_error,l2_logits,epoch
tabpfn,10,8,0.06758618354797363,0.3309728503227234,400
tabpfn,10,8,0.12413793802261353,0.42439770698547363,400
tabpfn,10,8,0.08137929439544678,0.7052000761032104,400
tabpfn,10,8,0.08275860548019409,0.7020115256309509,400
